79,56
80,55
82,55
85,55
89,54
93,54
96,53
98,51
99,48
99,45
98,42
96,39
93,35
91,32
90,30
90,28
91,27
92,25
92,22
91,19
89,17
86,16
82,16
78,17
75,19
73,20
72,22
72,24
73,25
75,27
78,30
80,34
83,38
85,42
86,45
86,47
85,48
83,48
80,47
76,45
72,42
68,38
64,35
61,33
59,32
58,32
57,33
55,35
53,38
52,42
52,45
53,47
53,48
52,48
50,47
47,45
45,42
44,38
44,34
45,30
47,26
50,22
54,18
57,14
59,10
60,7
60,5
59,4
57,4
54,4
50,4
46,4
42,4
38,4
34,4
30,4
26,4
22,4
18,4
14,4
10,5
7,7
5,10
4,14
4,18
4,22
4,26
4,30
4,34
5,38
7,41
9,44
10,47
10,51
11,54
13,56
16,57
20,57
24,56
28,56
32,56
36,56
40,56
44,56
48,56
52,56
56,56
60,56
64,56
68,56
72,56
75,56
77,56
