77,56
76,55
74,55
71,55
67,55
63,55
59,55
55,55
51,55
47,55
43,55
39,55
35,55
31,55
27,55
23,55
19,55
15,55
11,54
8,52
6,49
5,45
5,41
6,37
7,33
8,29
8,25
7,21
7,17
8,13
9,9
10,6
12,4
15,3
19,3
23,3
27,3
31,4
35,4
39,4
43,4
47,4
51,4
54,5
56,7
57,10
57,13
56,16
54,19
51,23
48,27
46,31
45,35
45,38
45,42
46,45
48,47
51,48
53,48
54,47
54,45
54,42
54,39
55,37
57,36
60,36
64,36
68,37
71,39
73,42
76,45
80,47
83,48
85,48
86,47
86,45
85,42
83,38
80,34
76,30
73,27
71,23
70,20
70,18
71,17
73,17
76,17
79,16
83,16
87,17
90,19
92,22
93,25
94,28
94,32
94,35
95,39
97,43
98,46
98,50
97,53
95,55
92,56
89,56
86,56
83,56
79,57
