59,17
59,18
60,19
60,19
59,20
59,20
60,19
60,19
61,20
62,20
62,20
62,21
61,21
59,20
58,18
58,17
59,17
59,16
58,16
58,17
59,19
61,20
62,21
62,21
61,20
59,19
58,17
57,16
57,16
58,17
59,18
61,20
63,22
64,23
65,23
65,23
64,23
62,22
59,20
57,17
56,15
55,14
55,14
56,15
58,17
60,19
63,22
65,24
66,26
68,27
69,28
69,28
68,27
66,26
63,24
59,21
56,17
54,13
52,10
49,8
47,6
46,5
46,5
47,6
49,8
52,11
56,15
60,19
63,23
67,26
70,29
72,31
74,33
75,34
75,34
74,34
72,33
69,31
66,28
62,24
59,19
56,15
53,12
50,9
48,7
46,5
44,3
43,2
43,2
44,3
46,5
49,8
53,12
58,17
62,21
65,24
67,26
68,27
68,27
67,26
65,25
62,23
59,20
57,16
54,13
52,11
51,10
51,10
52,11
54,13
57,16
60,19
62,22
64,24
66,25
67,26
67,26
66,25
64,24
61,22
59,19
57,16
55,14
54,13
54,13
55,14
57,16
59,19
62,22
65,25
68,27
70,29
71,30
71,31
70,31
68,30
66,28
63,25
59,21
56,18
54,14
52,11
50,9
49,8
49,8
50,9
52,11
55,14
59,18
62,21
64,23
66,25
68,27
69,29
71,30
72,31
72,31
71,30
69,28
67,27
64,25
60,22
57,18
55,15
54,13
53,12
52,11
52,11
53,12
55,14
58,17
61,20
64,23
68,27
72,30
75,33
77,35
80,36
84,36
88,36
91,36
93,35
94,33
96,30
97,26
97,21
96,17
95,14
95,12
95,11
95,11
96,12
96,14
95,17
93,20
90,22
86,23
81,23
76,22
72,20
69,19
66,18
64,18
62,18
61,18
61,17
